start_time,end_time,qc_flag,comment
2025-08-13 09:24:55,2025-08-13 09:26:55,4,mFET swap
2025-08-13 09:49:11,2025-08-13 09:51:45,4,mFET swap
2025-08-15 03:11:41,2025-08-15 03:12:07,4,mFET swap
2025-08-15 03:29:17,2025-08-15 03:32:03,4,mFET swap
2025-08-17 09:40:37,2025-08-17 09:41:41,4,mFET swap
2025-08-17 09:55:45,2025-08-17 09:56:03,4,mFET swap
